id,name,area,parent_id,parent_name,category,description,address,image,source_url,image_credit,image_license,image_source_page,image_license_url
michi-awaji,道の駅あわじ,岩屋・北部,,,グルメ,明石海峡大橋のたもとで海景色と淡路島グルメを楽しめる道の駅。,兵庫県淡路市岩屋1873-1,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1000&q=80,https://www.awajishima-kanko.jp/,,,,
nijigen,ニジゲンノモリ,岩屋・北部,,,複合施設,兵庫県立淡路島公園内にある体験型アニメパーク。,兵庫県淡路市楠本2425-2,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1000&q=80,https://nijigennomori.com/,,,,
nijigen-dq,ドラゴンクエスト アイランド,岩屋・北部,nijigen,ニジゲンノモリ,アトラクション,ドラゴンクエストの世界をリアルとデジタルで体験するフィールドRPG。,兵庫県淡路市楠本2425-2,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1000&q=80,https://nijigennomori.com/attraction/,,,,
nijigen-naruto,NARUTO＆BORUTO 忍里,岩屋・北部,nijigen,ニジゲンノモリ,アトラクション,NARUTO・BORUTOの世界観を体験できるアトラクションエリア。,兵庫県淡路市楠本2425-2,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1000&q=80,https://nijigennomori.com/attraction/,,,,
nijigen-godzilla,ゴジラ迎撃作戦,岩屋・北部,nijigen,ニジゲンノモリ,アトラクション,ゴジラをテーマにした体験型アトラクション。,兵庫県淡路市楠本2425-2,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1000&q=80,https://nijigennomori.com/attraction/,,,,
nijigen-shinchan,クレヨンしんちゃん アドベンチャーパーク,岩屋・北部,nijigen,ニジゲンノモリ,アトラクション,クレヨンしんちゃんの世界観を体験できるアトラクションエリア。,兵庫県淡路市楠本2425-2,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1000&q=80,https://nijigennomori.com/attraction/,,,,
nijigen-aot,TVアニメ『進撃の巨人』×ニジゲンノモリ,岩屋・北部,nijigen,ニジゲンノモリ,アトラクション,進撃の巨人の世界を体験する期間限定コラボイベント。,兵庫県淡路市楠本2425-2,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1000&q=80,https://nijigennomori.com/attraction/,,,,
nijigen-tokyo,TOKYO SCRAMBLE in ニジゲンノモリ,岩屋・北部,nijigen,ニジゲンノモリ,アトラクション,未知の生物から逃れながら進む屋内型体験アトラクション。,兵庫県淡路市楠本2425-2,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1000&q=80,https://nijigennomori.com/attraction/,,,,
nijigen-luida,ルイーダの酒場,岩屋・北部,nijigen,ニジゲンノモリ,グルメ,ドラゴンクエスト関連のフードやグッズを楽しめるショップ＆レストラン。,兵庫県淡路市楠本2425-2,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1000&q=80,https://nijigennomori.com/,,,,
hanasajiki,あわじ花さじき,岩屋・北部,,,自然,季節の花畑と海を見渡せる県立公園。,兵庫県淡路市楠本2805-7,https://images.unsplash.com/photo-1497250681960-ef046c08a56e?auto=format&fit=crop&w=1000&q=80,https://www.hyogo-park.or.jp/hanasajiki/,,,,
